feature,coefficient,abs_coefficient,is_active
compound_cuberoot,0.8839999999999777,0.8839999999999777,True
1,0.0,0.0,False
Tw,0.0,0.0,False
Tgi,0.0,0.0,False
Pw,0.0,0.0,False
Pgi,0.0,0.0,False
dT,0.0,0.0,False
dP,0.0,0.0,False
dP_over_dT,0.0,0.0,False
dT_over_dP,0.0,0.0,False
Tw*Tw,0.0,0.0,False
Tw*Tgi,0.0,0.0,False
Tw*Pw,0.0,0.0,False
Tw*Pgi,0.0,0.0,False
Tw*dT,0.0,0.0,False
Tw*dP,0.0,0.0,False
Tw*dP_over_dT,0.0,0.0,False
Tw*dT_over_dP,0.0,0.0,False
Tw*compound_cuberoot,0.0,0.0,False
Tgi*Tgi,0.0,0.0,False
Tgi*Pw,0.0,0.0,False
Tgi*Pgi,0.0,0.0,False
Tgi*dT,0.0,0.0,False
Tgi*dP,0.0,0.0,False
Tgi*dP_over_dT,0.0,0.0,False
Tgi*dT_over_dP,0.0,0.0,False
Tgi*compound_cuberoot,0.0,0.0,False
Pw*Pw,0.0,0.0,False
Pw*Pgi,0.0,0.0,False
Pw*dT,0.0,0.0,False
Pw*dP,0.0,0.0,False
Pw*dP_over_dT,0.0,0.0,False
Pw*dT_over_dP,0.0,0.0,False
Pw*compound_cuberoot,0.0,0.0,False
Pgi*Pgi,0.0,0.0,False
Pgi*dT,0.0,0.0,False
Pgi*dP,0.0,0.0,False
Pgi*dP_over_dT,0.0,0.0,False
Pgi*dT_over_dP,0.0,0.0,False
Pgi*compound_cuberoot,0.0,0.0,False
dT*dT,0.0,0.0,False
dT*dP,0.0,0.0,False
dT*dP_over_dT,0.0,0.0,False
dT*dT_over_dP,0.0,0.0,False
dT*compound_cuberoot,0.0,0.0,False
dP*dP,0.0,0.0,False
dP*dP_over_dT,0.0,0.0,False
dP*dT_over_dP,0.0,0.0,False
dP*compound_cuberoot,0.0,0.0,False
dP_over_dT*dP_over_dT,0.0,0.0,False
dP_over_dT*dT_over_dP,0.0,0.0,False
dP_over_dT*compound_cuberoot,0.0,0.0,False
dT_over_dP*dT_over_dP,0.0,0.0,False
dT_over_dP*compound_cuberoot,0.0,0.0,False
compound_cuberoot*compound_cuberoot,0.0,0.0,False
