feature,coefficient,abs_coefficient,is_active
hc*dP_over_dT,0.016272999999999992,0.016272999999999992,True
1,0.0,0.0,False
Tw,0.0,0.0,False
Tgi,0.0,0.0,False
Pw,0.0,0.0,False
Pgi,0.0,0.0,False
dT,0.0,0.0,False
hc,0.0,0.0,False
dP,0.0,0.0,False
dP_over_dT,0.0,0.0,False
dT_over_dP,0.0,0.0,False
Tw*Tw,0.0,0.0,False
Tw*Tgi,0.0,0.0,False
Tw*Pw,0.0,0.0,False
Tw*Pgi,0.0,0.0,False
Tw*dT,0.0,0.0,False
Tw*hc,0.0,0.0,False
Tw*dP,0.0,0.0,False
Tw*dP_over_dT,0.0,0.0,False
Tw*dT_over_dP,0.0,0.0,False
Tgi*Tgi,0.0,0.0,False
Tgi*Pw,0.0,0.0,False
Tgi*Pgi,0.0,0.0,False
Tgi*dT,0.0,0.0,False
Tgi*hc,0.0,0.0,False
Tgi*dP,0.0,0.0,False
Tgi*dP_over_dT,0.0,0.0,False
Tgi*dT_over_dP,0.0,0.0,False
Pw*Pw,0.0,0.0,False
Pw*Pgi,0.0,0.0,False
Pw*dT,0.0,0.0,False
Pw*hc,0.0,0.0,False
Pw*dP,0.0,0.0,False
Pw*dP_over_dT,0.0,0.0,False
Pw*dT_over_dP,0.0,0.0,False
Pgi*Pgi,0.0,0.0,False
Pgi*dT,0.0,0.0,False
Pgi*hc,0.0,0.0,False
Pgi*dP,0.0,0.0,False
Pgi*dP_over_dT,0.0,0.0,False
Pgi*dT_over_dP,0.0,0.0,False
dT*dT,0.0,0.0,False
dT*hc,0.0,0.0,False
dT*dP,0.0,0.0,False
dT*dP_over_dT,0.0,0.0,False
dT*dT_over_dP,0.0,0.0,False
hc*hc,0.0,0.0,False
hc*dP,0.0,0.0,False
hc*dT_over_dP,0.0,0.0,False
dP*dP,0.0,0.0,False
dP*dP_over_dT,0.0,0.0,False
dP*dT_over_dP,0.0,0.0,False
dP_over_dT*dP_over_dT,0.0,0.0,False
dP_over_dT*dT_over_dP,0.0,0.0,False
dT_over_dP*dT_over_dP,0.0,0.0,False
