threshold,n_nonzero,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2
2.0464007798526754e-06,47,1016949592.2865611,41777225504073.586,43391128855234.02,31889.64710194456,6463530.421068163,6587194.3082949985,-2026181118.0995617,-824732565760740.5,-1.1739460382107476e+16
3.751013156102408e-06,47,1016949592.2865611,41777225504073.586,43391128855234.02,31889.64710194456,6463530.421068163,6587194.3082949985,-2026181118.0995617,-824732565760740.5,-1.1739460382107476e+16
6.8755347612144025e-06,34,4.896344731530975e-13,1.01427528410373e-09,8.090187653278115e-09,6.997388606852542e-07,3.184768883457213e-05,8.994547044336427e-05,0.9999999999990244,0.9999999799769888,0.9999978112015072
1.2602722593963908e-05,33,2.805371585474398e-16,8.221173339274562e-13,5.647780420648075e-12,1.6749243521647174e-08,9.067068621817397e-07,2.376505926912044e-06,0.9999999999999994,0.9999999999837704,0.9999999984719943
2.3100547418707937e-05,10,3.871747523470143e-24,9.277165518548022e-25,1.1282707525184742e-23,1.967675665212675e-12,9.631804357724476e-13,3.3589741775108576e-12,1.0,1.0,1.0
4.234285782816171e-05,10,3.871747523470143e-24,9.277165518548022e-25,1.1282707525184742e-23,1.967675665212675e-12,9.631804357724476e-13,3.3589741775108576e-12,1.0,1.0,1.0
7.761364164054054e-05,6,2.9347574976941912e-24,1.8167775438173324e-24,1.2048588066183345e-23,1.713113393122064e-12,1.3478789054723471e-12,3.471107613742816e-12,1.0,1.0,1.0
0.00014226430802457204,18,1.063133227928053e-18,7.687663127652904e-18,3.645372671281179e-17,1.0310835213153457e-09,2.772663543896537e-09,6.037692167775017e-09,1.0,0.9999999999999999,0.9999999999999901
0.00026076773244896467,15,3.232228645948157e-22,4.8645567661800534e-21,1.2680622772358495e-20,1.7978399945345963e-11,6.974637457373718e-11,1.126082713318986e-10,1.0,1.0,1.0
0.00047798222358646565,13,9.182988585756179e-23,4.2705703220046425e-22,3.3010066749202132e-22,9.582791130853358e-12,2.0665358264507884e-11,1.8168672694834406e-11,1.0,1.0,1.0
0.0008761321959547879,10,1.6757846609252427e-23,2.7394757001850294e-23,1.0252602574526493e-23,4.093634889588033e-12,5.234000095705988e-12,3.2019685467734523e-12,1.0,1.0,1.0
0.00160593341532439,15,3.232228645948157e-22,4.8645567661800534e-21,1.2680622772358495e-20,1.7978399945345963e-11,6.974637457373718e-11,1.126082713318986e-10,1.0,1.0,1.0
0.0029436449731708647,1,2.25155410579582e-27,1.909908791723666e-27,1.0268827228619898e-27,4.745054378819931e-14,4.3702503266102117e-14,3.204501088877939e-14,1.0,1.0,1.0
0.005395644455361057,1,2.25155410579582e-27,1.909908791723666e-27,1.0268827228619898e-27,4.745054378819931e-14,4.3702503266102117e-14,3.204501088877939e-14,1.0,1.0,1.0
0.009890112209186801,1,2.25155410579582e-27,1.909908791723666e-27,1.0268827228619898e-27,4.745054378819931e-14,4.3702503266102117e-14,3.204501088877939e-14,1.0,1.0,1.0
0.01812838490740777,6,8.433577247280313e-25,2.1399780882651027e-24,5.70419279074071e-24,9.183451011074383e-13,1.4628663945368022e-12,2.3883451992416653e-12,1.0,1.0,1.0
0.033228979853824295,5,1.2167673028412167e-24,2.6994671613160693e-24,7.739730597874183e-24,1.1030717577933072e-12,1.6430055268671707e-12,2.7820371309301718e-12,1.0,1.0,1.0
0.060908079112699604,1,2.25155410579582e-27,1.909908791723666e-27,1.0268827228619898e-27,4.745054378819931e-14,4.3702503266102117e-14,3.204501088877939e-14,1.0,1.0,1.0
0.11164333414743423,1,2.25155410579582e-27,1.909908791723666e-27,1.0268827228619898e-27,4.745054378819931e-14,4.3702503266102117e-14,3.204501088877939e-14,1.0,1.0,1.0
0.20464007798526757,1,2.25155410579582e-27,1.909908791723666e-27,1.0268827228619898e-27,4.745054378819931e-14,4.3702503266102117e-14,3.204501088877939e-14,1.0,1.0,1.0
