feature,coefficient,abs_coefficient,is_active
cbrt(dT*dT_over_dP),-5614.689136233667,5614.689136233667,True
cbrt(Tgi*Tgi),-4157.890786911595,4157.890786911595,True
cbrt(Pw*dT_over_dP),3544.5983057522653,3544.5983057522653,True
cbrt(Tw),3096.3324721475065,3096.3324721475065,True
cbrt(Pgi*dT_over_dP),-2857.856928853697,2857.856928853697,True
cbrt(dP_over_dT),-2827.803715367557,2827.803715367557,True
cbrt(Tgi*dP_over_dT),2153.7242974437195,2153.7242974437195,True
cbrt(Tw*dP_over_dT),-1862.4382718505396,1862.4382718505396,True
cbrt(Tw*Tgi),1523.979277076667,1523.979277076667,True
Tw,1469.686408355242,1469.686408355242,True
dT*dT_over_dP,-1287.3077177360199,1287.3077177360199,True
cbrt(Pgi),-1145.5961706877285,1145.5961706877285,True
cbrt(Tgi),1140.3066849687384,1140.3066849687384,True
cbrt(Pw),1081.7809357263327,1081.7809357263327,True
Tgi,-1072.4934134222467,1072.4934134222467,True
cbrt(dT),1051.134260728446,1051.134260728446,True
Tw*dT_over_dP,-1050.9172279970292,1050.9172279970292,True
dT,-941.3043528693697,941.3043528693697,True
cbrt(Tgi*dT_over_dP),809.7396642927459,809.7396642927459,True
dP*dT_over_dP,-794.8702756846777,794.8702756846777,True
cbrt(Tw*dT),-726.4621956641195,726.4621956641195,True
cbrt(Tw*Tw),645.3456002737746,645.3456002737746,True
cbrt(Tgi*dT),413.9061685182776,413.9061685182776,True
Pgi*dT_over_dP,275.77888469306845,275.77888469306845,True
cbrt(Tgi*dP),-242.87506746942293,242.87506746942293,True
Tgi*dT_over_dP,225.32914951115183,225.32914951115183,True
cbrt(dP*dT_over_dP),207.2379305151828,207.2379305151828,True
cbrt(dT_over_dP),-183.00884469102283,183.00884469102283,True
cbrt(Tw*dP),151.0389663986031,151.0389663986031,True
cbrt(Pgi*dT),147.63414463595996,147.63414463595996,True
1,46.56943394816697,46.56943394816697,True
Pw,0.0,0.0,False
Pgi,0.0,0.0,False
dP,0.0,0.0,False
dP_over_dT,0.0,0.0,False
dT_over_dP,0.0,0.0,False
Tw*Tw,0.0,0.0,False
Tw*Tgi,0.0,0.0,False
Tw*Pw,0.0,0.0,False
Tw*Pgi,0.0,0.0,False
Tw*dT,0.0,0.0,False
Tw*dP,0.0,0.0,False
Tw*dP_over_dT,0.0,0.0,False
Tgi*Tgi,0.0,0.0,False
Tgi*Pw,0.0,0.0,False
Tgi*Pgi,0.0,0.0,False
Tgi*dT,0.0,0.0,False
Tgi*dP,0.0,0.0,False
Tgi*dP_over_dT,0.0,0.0,False
Pw*Pw,0.0,0.0,False
Pw*Pgi,0.0,0.0,False
Pw*dT,0.0,0.0,False
Pw*dP,0.0,0.0,False
Pw*dP_over_dT,0.0,0.0,False
Pw*dT_over_dP,0.0,0.0,False
Pgi*Pgi,0.0,0.0,False
Pgi*dT,0.0,0.0,False
Pgi*dP,0.0,0.0,False
Pgi*dP_over_dT,0.0,0.0,False
dT*dT,0.0,0.0,False
dT*dP,0.0,0.0,False
dT*dP_over_dT,0.0,0.0,False
dP*dP,0.0,0.0,False
dP*dP_over_dT,0.0,0.0,False
dP_over_dT*dP_over_dT,0.0,0.0,False
dP_over_dT*dT_over_dP,0.0,0.0,False
dT_over_dP*dT_over_dP,0.0,0.0,False
cbrt(dP),0.0,0.0,False
cbrt(Tw*Pw),0.0,0.0,False
cbrt(Tw*Pgi),0.0,0.0,False
cbrt(Tw*dT_over_dP),0.0,0.0,False
cbrt(Tgi*Pw),0.0,0.0,False
cbrt(Tgi*Pgi),0.0,0.0,False
cbrt(Pw*Pw),0.0,0.0,False
cbrt(Pw*Pgi),0.0,0.0,False
cbrt(Pw*dT),0.0,0.0,False
cbrt(Pw*dP),0.0,0.0,False
cbrt(Pw*dP_over_dT),0.0,0.0,False
cbrt(Pgi*Pgi),0.0,0.0,False
cbrt(Pgi*dP),0.0,0.0,False
cbrt(Pgi*dP_over_dT),0.0,0.0,False
cbrt(dT*dT),0.0,0.0,False
cbrt(dT*dP),0.0,0.0,False
cbrt(dT*dP_over_dT),0.0,0.0,False
cbrt(dP*dP),0.0,0.0,False
cbrt(dP*dP_over_dT),0.0,0.0,False
cbrt(dP_over_dT*dP_over_dT),0.0,0.0,False
cbrt(dP_over_dT*dT_over_dP),0.0,0.0,False
cbrt(dT_over_dP*dT_over_dP),0.0,0.0,False
