feature,coefficient,abs_coefficient,is_active
cbrt(dT*dT_over_dP),-19092.793429370817,19092.793429370817,True
cbrt(Tw),-6594.359273774265,6594.359273774265,True
Tgi*dT_over_dP,5110.433432863082,5110.433432863082,True
cbrt(Tgi*dT_over_dP),4281.0797740423495,4281.0797740423495,True
Tw*dT_over_dP,-4202.78141718264,4202.78141718264,True
cbrt(dP*dT_over_dP),3901.364686295371,3901.364686295371,True
cbrt(dT),3718.6322297683664,3718.6322297683664,True
cbrt(dT_over_dP),-2790.7621351679736,2790.7621351679736,True
cbrt(Tw*Tw),2480.4249735354733,2480.4249735354733,True
cbrt(Tgi*Tgi),-2298.0644820505668,2298.0644820505668,True
cbrt(Pw*dT_over_dP),1953.9104545951238,1953.9104545951238,True
cbrt(Tgi),1941.220511397002,1941.220511397002,True
dT,-1213.2497285559175,1213.2497285559175,True
cbrt(Pgi*dT_over_dP),1066.236494910371,1066.236494910371,True
cbrt(Tw*Tgi),810.1732503388967,810.1732503388967,True
cbrt(Tgi*dT),-771.2459974578323,771.2459974578323,True
1,752.0661775882508,752.0661775882508,True
Tgi,-740.4919268422855,740.4919268422855,True
cbrt(Pgi),-711.753116992555,711.753116992555,True
cbrt(Tw*dT),-685.9016585209197,685.9016585209197,True
Tw,669.1335538150057,669.1335538150057,True
cbrt(Tw*dP_over_dT),419.4371329447822,419.4371329447822,True
Pw,0.0,0.0,False
Pgi,0.0,0.0,False
dP,0.0,0.0,False
dP_over_dT,0.0,0.0,False
dT_over_dP,0.0,0.0,False
Tw*Tw,0.0,0.0,False
Tw*Tgi,0.0,0.0,False
Tw*Pw,0.0,0.0,False
Tw*Pgi,0.0,0.0,False
Tw*dT,0.0,0.0,False
Tw*dP,0.0,0.0,False
Tw*dP_over_dT,0.0,0.0,False
Tgi*Tgi,0.0,0.0,False
Tgi*Pw,0.0,0.0,False
Tgi*Pgi,0.0,0.0,False
Tgi*dT,0.0,0.0,False
Tgi*dP,0.0,0.0,False
Tgi*dP_over_dT,0.0,0.0,False
Pw*Pw,0.0,0.0,False
Pw*Pgi,0.0,0.0,False
Pw*dT,0.0,0.0,False
Pw*dP,0.0,0.0,False
Pw*dP_over_dT,0.0,0.0,False
Pw*dT_over_dP,0.0,0.0,False
Pgi*Pgi,0.0,0.0,False
Pgi*dT,0.0,0.0,False
Pgi*dP,0.0,0.0,False
Pgi*dP_over_dT,0.0,0.0,False
Pgi*dT_over_dP,0.0,0.0,False
dT*dT,0.0,0.0,False
dT*dP,0.0,0.0,False
dT*dP_over_dT,0.0,0.0,False
dT*dT_over_dP,0.0,0.0,False
dP*dP,0.0,0.0,False
dP*dP_over_dT,0.0,0.0,False
dP*dT_over_dP,0.0,0.0,False
dP_over_dT*dP_over_dT,0.0,0.0,False
dP_over_dT*dT_over_dP,0.0,0.0,False
dT_over_dP*dT_over_dP,0.0,0.0,False
cbrt(Pw),0.0,0.0,False
cbrt(dP),0.0,0.0,False
cbrt(dP_over_dT),0.0,0.0,False
cbrt(Tw*Pw),0.0,0.0,False
cbrt(Tw*Pgi),0.0,0.0,False
cbrt(Tw*dP),0.0,0.0,False
cbrt(Tw*dT_over_dP),0.0,0.0,False
cbrt(Tgi*Pw),0.0,0.0,False
cbrt(Tgi*Pgi),0.0,0.0,False
cbrt(Tgi*dP),0.0,0.0,False
cbrt(Tgi*dP_over_dT),0.0,0.0,False
cbrt(Pw*Pw),0.0,0.0,False
cbrt(Pw*Pgi),0.0,0.0,False
cbrt(Pw*dT),0.0,0.0,False
cbrt(Pw*dP),0.0,0.0,False
cbrt(Pw*dP_over_dT),0.0,0.0,False
cbrt(Pgi*Pgi),0.0,0.0,False
cbrt(Pgi*dT),0.0,0.0,False
cbrt(Pgi*dP),0.0,0.0,False
cbrt(Pgi*dP_over_dT),0.0,0.0,False
cbrt(dT*dT),0.0,0.0,False
cbrt(dT*dP),0.0,0.0,False
cbrt(dT*dP_over_dT),0.0,0.0,False
cbrt(dP*dP),0.0,0.0,False
cbrt(dP*dP_over_dT),0.0,0.0,False
cbrt(dP_over_dT*dP_over_dT),0.0,0.0,False
cbrt(dP_over_dT*dT_over_dP),0.0,0.0,False
cbrt(dT_over_dP*dT_over_dP),0.0,0.0,False
