complexity,loss,equation,score,sympy_format,lambda_format,train_mse,val_mse,test_mse,train_mse_raw,val_mse_raw,test_mse_raw,train_mse_forward,val_mse_forward,test_mse_forward
1,123.928505,-5.0820856,0.0,-5.08208560000000,PySRFunction(X=>-5.08208560000000),123.92854310407647,32.259577789298675,28.42025653712431,2.753603096221877,3.403184406775482,1.6388628077545901,2.753603096221877,3.403184406775482,1.6388628077545901
3,83.87619,dT + -9.300633,0.19518152188593435,dT - 9.300633,PySRFunction(X=>dT - 9.300633),83.87620027654526,16.682578565978933,49.28994077036887,2.0997836572116606,2.9876105884783675,1.6514852410517569,2.0997836572116606,2.9876105884783675,1.6514852410517569
5,42.58072,-19.14738 / (compound_seed + 1.7737836),0.33897010715057535,-19.14738/(compound_seed + 1.7737836),PySRFunction(X=>-19.14738/(compound_seed + 1.7737836)),42.58072390714761,6.653499145578838,17.986912392090336,2.038620876328285,2.7653832437368884,1.601541783669713,2.038620876328285,2.7653832437368884,1.601541783669713
7,35.9385,(-27.1897 / (dT + 1.71783)) - -4.72732,0.08479621220604801,-1*(-4.72732) - 27.1897/(dT + 1.71783),PySRFunction(X=>-1*(-4.72732) - 27.1897/(dT + 1.71783)),35.938506048223175,0.736667399902158,4.163888094201168,11.814708882050407,9.157214666208297,1.1510045034807808,11.814708882050407,9.157214666208297,1.1510045034807808
9,23.136925,(90.39671 / ((3.7222457 / dT) + dT)) - 11.759598,0.22018965904911592,-1*11.759598 + 90.39671/(dT + 3.7222457/dT),PySRFunction(X=>-1*11.759598 + 90.39671/(dT + 3.7222457/dT)),23.136928346649857,14.565387920722198,109.09904608756942,190588610.36345726,1352005.5346626716,4895019536.662326,190588610.36345726,1352005.5346626716,4895019536.662326
11,9.459861,17.354582 / (compound_seed + (1.2075839 - (-1.3015074 / (compound_seed - 0.52347827)))),0.4471860683247035,17.354582/(compound_seed + 1.2075839 - (-1)*1.3015074/(compound_seed - 1*0.52347827)),PySRFunction(X=>17.354582/(compound_seed + 1.2075839 - (-1)*1.3015074/(compound_seed - 1*0.52347827))),9.459863150442851,2.100865891580473,11.486946147428512,130.05614090365955,62.76566575045279,1558.1425246046053,130.05614090365955,62.76566575045279,1558.1425246046053
13,7.3718,((dT + -8.181354) / 0.5795003) + (10.604246 / (dT + (0.12497074 / dT))),0.12469788987502882,(dT - 8.181354)/0.5795003 + 10.604246/(dT + 0.12497074/dT),PySRFunction(X=>(dT - 8.181354)/0.5795003 + 10.604246/(dT + 0.12497074/dT)),7.371798475686876,9.97200383727405,33.607288704603256,3.3852011198765175,1.7729120191655936,1.6446842599409845,3.3852011198765175,1.7729120191655936,1.6446842599409845
14,5.9460297,(safe_log(TwK) / (dT + (0.03933716 / dT))) + (-30.277037 / (compound_seed - -2.416364)),0.21493819024166808,log(TwK)/(dT + 0.03933716/dT) - 30.277037/(compound_seed - 1*(-2.416364)),PySRFunction(X=>log(TwK)/(dT + 0.03933716/dT) - 30.277037/(compound_seed - 1*(-2.416364))),5.9460295878188605,6.063185480294164,12.272960389883679,10.661453808002946,2.708196176068511,1.5546233824031737,10.661453808002946,2.708196176068511,1.5546233824031737
16,3.6686995,((-44.92716 / (compound_seed - -2.797546)) + 3.0488749) + (safe_log(TwK) / ((0.031066524 / dT) + compound_seed)),0.24144323996239678,3.0488749 + log(TwK)/(compound_seed + 0.031066524/dT) - 44.92716/(compound_seed - 1*(-2.797546)),PySRFunction(X=>3.0488749 + log(TwK)/(compound_seed + 0.031066524/dT) - 44.92716/(compound_seed - 1*(-2.797546))),3.6686992746616727,1.4720441349974585,9.06561719349502,6.796416309045224,0.8784448311139713,1.4806026850002485,6.796416309045224,0.8784448311139713,1.4806026850002485
17,3.6546583,((2.3690076 / (((0.042094663 / compound_seed) + compound_seed) * 0.39515054)) + (-45.557743 / (compound_seed - -2.8359675))) + 3.049997,0.0038346391338904993,3.049997 - 45.557743/(compound_seed - 1*(-2.8359675)) + 2.3690076/(((compound_seed + 0.042094663/compound_seed)*0.39515054)),PySRFunction(X=>3.049997 - 45.557743/(compound_seed - 1*(-2.8359675)) + 2.3690076/(((compound_seed + 0.042094663/compound_seed)*0.39515054))),3.6546578704557455,1.472711773449642,8.819303451762355,5.1358964641051745,0.8821456437373825,1.4748338028145067,5.1358964641051745,0.8821456437373825,1.4748338028145067
